texto;sentimento
Te acho ridícula — não ligo pra sua opinião,uma pena :) https://t.co/4KfzbMMPf4;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — passar de ano todos os anos em q eu estiver na escola, ser feliz e mais 3 desejos :) https://t.co/ucft5NgtR0;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Ter toda a roupa que quisesse, comer e não engordar, ser sempre feliz :) https://t.co/cwLrBgAPoM;Positivo
@ballotellli @saramdomingues E Eu também sou boa :P;Positivo
Será muito mau se ainda jogar de vez em quando? :)))) https://t.co/Wit3yoDWkT;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Vai, se, fuder :) https://t.co/cv4nsCsD0t;Positivo
também tem a teoria da breja... o amor da sua vida pode ser igual breja: primeiro o ranço dps tu aprende a gostar/amar :);Positivo
quase 4h seguidas estudando bioeletrogênese pra agora começar a entender :);Positivo
@Stay0hsHIt @steegguk Ain, sou mto ruim em escrever essas coisas KKK Bom, nos conhecemos faz pouco tempo mas já te considero mto??vc é uma pessoa incrível, ícone, engraçada e um amorzinho :3?? eu te amo sua linda, sheroza q KKKK obgda por me ajudar quando;Positivo
@FelipeeGil e no final vc ia jogar só CS né? :P;Positivo
A falar a sério, já aceitei que não vou encontrar ninguém e não podia estar melhor com isso :));Positivo
@atrdf_ @lucasaruom Podem* :);Positivo
@_dudabraun Pq eles não conseguem olhar pra vidinha deles :));Positivo
@fechaatuaas4e20 Comigo não :);Positivo
Eu sempre quis dizer isso: Chamam de #BackhandNaParalela porque hj em dia ninguém levanta a voz pra gritar: "Pensei que vinha tiro de forehand, mas o Ferña mandou o backhand na paralela" #entendedores! :P https://t.co/JOLfesIgVB;Positivo
preciso de carinho :);Positivo
Tão ruim você sentir que ninguém tá pouco ligando :);Positivo
FICOU FODA! ?? tu arrasou demais nessa aí, @crckayy nem tenho palavras pro belo trabalho que você produziu! :D https://t.co/JbPcms5v96;Positivo
Me da um pôster de (Des)Encanto @NetflixBrasil :);Positivo
@livia_eumesma @vera Cara, não tô entendendo pq das treta... :);Positivo
conheci sabado é mto gatinha kk — Muito obri :) quem é?? https://t.co/r7XSDHVmxX;Positivo
Estratégia do Vasco: Todo mundo ataca e todo mundo defende! :P #SalvemOVasco;Positivo
@Lari_lrm Cruzes.... Hahahahahahahahah quero isso pra mim não :P;Positivo
ah pois eh, vcs sabem aquela entrevista la que eu jurava que ia dar em nada? pois é, amanha ja começo la, no Hospital Santa Julia :);Positivo
Adoramos ficar a cheirar a tabaco depois de uma noite de festa :)));Positivo
Obrigada @itaucultural pelo livros que Ester e Heitor adoram Obrigada @Bradesco pelo podcast Histórias de Ninar para Garotas Rebelde, Ester ama e a identificou com Grace cortando os cabelos :D;Positivo
Ganhei uma pizza do meu pai :);Positivo
Uma coisa legal aconteceu :);Positivo
MUITOS E BONS!!! Em média 6,7 por ano desde que tenho para aí 10anos :)) https://t.co/ofgqXvnOSB;Positivo
Acho tu uma garota incrível sabia ? :) smpre admirei seu jeito sempre eu sei que tu vai se uma mãezona para essa bebezinha que... — Chama https://t.co/1jP1axGEu2;Positivo
Quando eu fico triste, fico triste ué KKKKKKKKKKKK ou penso o quão inteligente eu sou, o quão escrevo bem, o quão fantástico eu sou e fico feliz :) Ou só faço drama pras pessoas falarem isso https://t.co/mnq8a5vkqf;Positivo
@aysesaykal Elalem Ne Der Sorna :D;Positivo
@plgio_ Ufa :) rsss;Positivo
@rafaborth oi, final de semana eu vou pra aí :));Positivo
@CleyCs Então tá :) Kkkk;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — casar com o arthur, viajar o mundo todo com o arthur e ser feliz pra sempre com o arthur :) https://t.co/l4bn3cwF12;Positivo
@HaramAsFuq Acha :p;Positivo
@bomdiabentes juro mano,de vdd. eu tô doente com o nariz entupido e espirrando toda hora aí comecei a pensar em varias bostas,só isso vei,mas valeu msm pela preocupação :);Positivo
pelo menos fiz alguém rir :);Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Que esse verão n acabe, voltar a ver algumas pessoas vezes sem conta e repetir os outros dois :) https://t.co/q0DDuNfDuQ;Positivo
@lvanom_ Quem quer que tenha escrito esta mensagem, eu penso que sei quem foi :), tenho que agradecer imenso por tal carinho. Retribuo as mesmas palavras e deixo já claro que essa pessoa tb pode contar cmg! ??????????;Positivo
@fencas @PortalDeviante Ah, tranquilo! Era só pra ver se deu tudo certo mesmo. :);Positivo
@lynkezlol seu treino deve tar bom pra vc ficar me gravando :D;Positivo
Eu quero e ñ quero pq sei que me vou borrar toda e sair de lá paranóica :)) https://t.co/3PvZmDvXq9;Positivo
@Hobimorningstar eu coloco bastante feijão se colocar pouco feijão a comida fica seca :P;Positivo
@theusss A vida surpreende mesmo :P :P :P;Positivo
tomei vergonha na cara e fiz minha tarefa, mas fiz no escuro e com sono saiu uma grande bosta mas eu fiz. :);Positivo
@mundodeandy PARABÉNS, homem do coelho! :D;Positivo
depois deste filme tou a precisar de carinhos :))));Positivo
Ele é um demônio bem poderoso, você acha que ele deixaria informações sobre ele vazarem assim tão facilmente? :) https://t.co/n0p33JdjpY;Positivo
melhor mensagem da amiga pra finalizar o dia bem :)) “tu não vale nada”;Positivo
EIS que estou saindo da redação e vou pra casa... Pra jogar? Não Beber vinho? Nops Comer alguma coisa? Nein Vou arrumar meu quarto que tá parecendo que rolou um ataque de urso seguido de um furacão. É meu jeitinho :);Positivo
tem alguma tatuagem? — tenho 5 :) https://t.co/RtpdAJw3Ky;Positivo
@iMaarkes @leeowtt Meu Sonho ;- 521 :D;Positivo
@skinnyvennus stou malzinha. fica bem anjooo :);Positivo
@cris_lapa @obobnunes @hxmnath @oautentico1 @luizguiprado Valeu pelo conselho :);Positivo
A Chloe e o Lucifer já são lentos pra caramba e ainda vão me botar MAIS UMA mulher pra atrapalhar :);Positivo
E as festas de ota tbm :)));Positivo
@MulherTamarindo Foi a primeira vez que fiz, não sei se gostei :p Agora fica anotado pra próxima leva de sabonetes quando eu pedir;Positivo
No momento parei no OVA do segundo jogo após terminar o Danganronpa 2, pretendo esse ano jogar pelo menos o Despairs Girls, claro, se eu tiver dinheiro :p;Positivo
@Dudu Vou compraaaar! Entrei em contato pelo insta e achei ela uma fofa me respondendo tudo :);Positivo
Com as mãos ardendo por causa de detergente :);Positivo
@juvitorlima e depois tem uma prova sexta, mais 4 sábado e outras 4 no próximo sábado :);Positivo
tive até agora a ver entrevistas do noah e da lana :));Positivo
@_CURRY_B Toma lá 50€ para comeres um gelado :);Positivo
@anastaciaottoni @capirojesca @_michellebruna @monique_m666 @esquizofreniia @CaligariZine Ah, o seu livro eu consegui encontrar quando procurei no seu perfil, lindona! Os das outras meninas que não tinha conseguido mesmo :) O seu perfil já tá lá completin;Positivo
Consigoo :))) https://t.co/kOek4pdPtc;Positivo
@guuipedrotti eu como do lado :);Positivo
@lolapraloser foi tipo assim "po esse dinhero n vale nada vei" :( dai FHC: "realmente mano q fita.....e agr ://" ....... ......... ............ "seguinte galera agr tem esse dinhero aqui ele vale bem mais fiquem felizes :D";Positivo
@diuIia aaa, não repostando, sinta se a vontade :);Positivo
@kikordoque Tu escuta há tanto tempo, que lembro do teu sobrenome. :D;Positivo
@SraaHoseoka Aeeee??? É muito difícil achar alguém de Minas :);Positivo
@CamirMolina De nada! :);Positivo
@LuisAfo44031112 Realmente nada a ver fogo, os teus são piores :)));Positivo
So foi ver o cel e chegou uma noticinha boaaaaaaaaa :) :) :);Positivo
Hoje em dia a maioria das pessoas não usa sufecientemente a cabeca para pensar nas consequencias :-);Positivo
Amanhã estarei vendendo pipocas na frente da faculdade :)));Positivo
Afim de alguém gatah? :) — Siim https://t.co/2DfvoteWhA;Positivo
eu sou tão fudida q até quando enfim chega o dia de algum feriado lá em Nilópolis caí no dia q eu já n tenho aula :);Positivo
@fabriciodaorakk @ericakjjk @jaoglhrms Peguei emprestado :);Positivo
@jnflesch olha isso :) https://t.co/mwqk1313q7;Positivo
@OneUHCs @SoyNealyz boa sorte :);Positivo
eu gosto tanto de bryce fox e imagine dragons mas sei um total de 0 coisas sobre eles entao nem venho falar pq se n vou falar merda :);Positivo
@DorameiraDiary Tô no ep 13 :) Obs: achei melhor boys over flowers;Positivo
Quem me conheceu nessa época tipo o @LUCASOLIV3IRA_ , a @MSerabion, o @daniiilimaaa73 e o Thiago (esqueci o @ dele :P), já deve ter percebido isso;Positivo
@bcfreitass Faço, eu coloco mais chocolate pra quebrar o sal :p;Positivo
eu sou uma boa amiga Eu sou uma boa filha mais como todos eu tenho defeitos eles se destacam então Eu não sou uma boa amiga? sou tão insegura, preciso de ajuda eu vou perder meus amigos minha família não tem orgulho eu nunca vou ser uma boa amiga uma boa filha :);Positivo
@giovana_2107 @CuriousCatMe ta, e vc vai no stb comigo :);Positivo
Queria pelo menos mais uma semana de atestado :/ pelo menos amanhã vou ver a @ :);Positivo
vou dormir pra amanhã acordar cedo demais fazer o ead e ler os textos da aula de quarta e de quinta :p;Positivo
@jjkseokjin @caukook97 @bymochim @jioonseok (desculpa pelos aleatórios) :);Positivo
@cobaintyles agora oficialmente vou parar de reclamar e passar a negar que estou triste até a morte pra que ninguém se preocupe comigo :);Positivo
fazia tanto tempo que eu não ficava feliz, feliz de verdade :) espero que dure;Positivo
Que tipos de pessoas você quer ter na sua vida? — eu ja tenho :) https://t.co/Wyx3Y973Sd;Positivo
@artcomicam @BTS_twt O hábito de pagar a comida é algo que os coreanos sempre fazem quando saem em amigos, lá quando você convida uma pessoa pra sair você paga a conta, então o hábito de dizer “quero pagar comida para eles” é basicamente um convite para s;Positivo
Só Outro baile na Coruja ne k Hum... Relaxa ta sendo visto :D;Positivo
@GustavoYarroch sabado 8 o domingo 9 será ? :);Positivo
@beatriz___xo Temos mesmo!!! Da próxima vez que for a Lisboa aviso-te e combinamos!! :));Positivo
@1swiftie1 @joanafreak Pode participar mesmo assim! :);Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Conhecer o mundo, poder ajudar quem precisa e saúde e essencial :) https://t.co/co220MUiuN;Positivo
O Flamengo pode até me decepcionar mas o Vasco jamais fará isso comigo :);Positivo
Hj eu tava estressado, de bom humor, mas estressado. Meu amigo até reclamou, aí chego em casa e falo "vou dar uma dormidinha" acordo estressado igual e puto pq fui acordado (com um mau humor filho da puta). Tpm masculina Desculpa Amigo :);Positivo
@mmorgadovic Eu tbm te amo :P;Positivo
@maliknudez @hesngucci94 @javaddpoem @ruelwt @ferallouve @curlyarry @purecamz @hrrywroses aaaaaaaaaa meu deus, to apaixonada!!! vamos amigar (ou tentar denovo k). e muito muito muito obrigada :) ? https://t.co/sKZrpZT6lA;Positivo
tirando o "shortinho" também to querendo :) https://t.co/f7CKTU5uLu;Positivo
@zaynmalik Digo o que você quiser :);Positivo
Missão do dia completada: Conseguir 100/100 no Google PageSpeed com o https://t.co/y2Z6eSkpsm :) https://t.co/x7MAKrlwhT;Positivo
PN - não conheço muito bem mas pelo que vejo és muito querido e giro :)) ?;Positivo
Só sobrou um, mas tudo bem porque ela se lembrou de mim :);Positivo
momento a dani tá dormindo na minha cama box de casal, com três cobertas e três travesseiros, e eu tô no colchãozinho com uma coberta :);Positivo
@whponchohra Tudo bem??? :));Positivo
@MonParaisoBr @store_young @designpumpkin Com mais essa é 27452197 sorteios que eu não ganho mas vida que segue :) &lt;3 https://t.co/ykNnJfDCaH;Positivo
@jurandirfilho 2006. Aqui é roots rapá !!! :D;Positivo
melhor noticia que eu poderia ver hj :) https://t.co/yqoDsBowb2;Positivo
@LTosati O bom e que eu não fui chamado :);Positivo
@sardssexual Taylor Swift so é a artista mais sucedida dessa década :D;Positivo
postando essa ft aqui pq minha família não tá nesse site :) (pra quem tinha 0 bunda até que não tô tão mal rs) https://t.co/7zezyxkfPN;Positivo
@elementzim até a n vou c tua cara mas gostei! Parabéns :);Positivo
boa noite :p;Positivo
niver do miguxo tá chegando :) @Thaliss_santos;Positivo
@awoojina oie tenho sim :);Positivo
Felicidades :) https://t.co/a62ilPa31X;Positivo
ME MANDEM MAAAAIS :) https://t.co/5ToOGnxzXS;Positivo
@SporTV Fraco demais ! Por mim poderia ir embora já :);Positivo
@NatNatassinha feliz aniversário, Nat! Tudo de bom hoje e sempre! :);Positivo
A pose “Turn Down For What” é porque #EveryBeatIsAShot passou de 100 mil plays e não para de crescer no Spotify. Cêis são uns lindos. ?? Comenta aí o que você achou da track :) ??: Gustavo Guives Leal;Positivo
@JonhD13 Fica feliz, tá mais perto de mim :);Positivo
@lindafmendes Brigadao! :));Positivo
Tudo bem ? :) https://t.co/8jNYteGScm;Positivo
@outrojoaopaulo @FigaroAndre esquerdista escravo de bandido acha q com sua retórica tosca engana qualquer um :P;Positivo
se voce nao nas eu bonito lembrese, deus deu beleza as/os kidol :);Positivo
@Diguitoo haha vlww vou ate registrar :p;Positivo
@Caio0liveira14 @inaemks Raffa Moreira mano, faz sol! :);Positivo
@Arthurrisouza Austrália é meio longe daí kkkkkkk mas vamos visitar vocês um dia :);Positivo
@NandoFcpp @leonor_sacadura ok , agora sou a menina do anfiteatro :);Positivo
existe um negócio chamado "TemperaFácil" o bagulho maravilhoso. coloco um sachê no arroz e meu arroz fica amarelo e temperadinho :);Positivo
@Rivaillew acertou rsss :);Positivo
O liam vai aos vma’s :) sozinho :);Positivo
@_Malvir Aaah vou ver :) Espero muito não chorar kakaka oque é difícil em filmes clichês pra mim;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Be happy :) https://t.co/8b7q5z00MY;Positivo
Porquê pdl no b29? — Tou mais perto de casa pa ir dormir qd me cansar :) https://t.co/eeSBgDa84u;Positivo
Eu fiz um pinguim com estes elásticos :)) https://t.co/GnyeeifHSW;Positivo
@idolshelpffx Quero o álbum do stray kids :);Positivo
E os TEs aparecendo! :);Positivo
vou ver spn daqui 10 minutos :);Positivo
Como parar de ouvir poetisas no topo :);Positivo
@yellowrafaella @JaguarBolsonaro @maepatriota @IrmaosDeDireita @DireitaManaus @direitagoiasofc @videosdedireita E ? Teu candidato é tão merda q defende q o seu salário seja menor que o de um homem - então honestamente se fode ai :);Positivo
[20/8 21:25] Thuanny??: Vem, eu faço bolo de cenoura pra gnt :) [20/8 21:26] Thuanny??: Ou pudim [20/8 21:26] Thuanny??: Não, pudim não [20/8 21:26] Thuanny??: Bolo [20/8 21:26] Free Willy ?: PDEIDN [20/8 21:26] Free Willy ?: PIDUM [20/8 21:26] Free Willy ?: PUDIM;Positivo
@becaolii :) sdds dms;Positivo
@felipeneto Também estou anciosa para assistir esse filme :);Positivo
@eumarceloluiz To acostumando com a ideia de trabalhar a voz, mas hoje eu curti ::);Positivo
Recebi-a :);Positivo
@caju_sz @feefag Só isso pra me livrar um pouco da depressão :);Positivo
go tnc :))) https://t.co/uI8Hs8SuM8;Positivo
Então ya, vim cinco dias p Braga c os meus pais e c a minha irmã, eles trouxeram uma mala p os três, e eu trouxe outra p mim :);Positivo
vamos fortalecer a amizade :) https://t.co/57Njy8A12b;Positivo
nunca conversei muito contigo mas parece ser querido pelo q falam :);Positivo
@Rita_488 Estamos quase a começar as aulas se quiseres vamos :);Positivo
eu fico pensando q minha avó é doida mesmo de ter colocado o nome dos filhos de Jhonatan Rogério e Jhames Douglas mas aí lembro que o meu era pra ser Andrômeda Priscila ou Maycon Perseu :);Positivo
@Lila_Vr Eeeeeeita bom saber! Espero que seja um lugar bacana para as próximas pessoas trans que entrem lá :);Positivo
Eu consigo abrir e fechar a mão, já é bom :) https://t.co/BwQUH5h2K7;Positivo
sei que é chato, mas dá uma conferida neles, pls ;) são uns bolinhos talentosos bye~ obrigado pela atenção :) https://t.co/7nH916KHrw;Positivo
@Brellasker @eucastelinii Minha mãe trabalha como Margarida (Varrer rua) e vocês não tem noção de como ela sofre, não jogo por ela ter me ensinado a não jogar, não jogo porque eu sei as consequências que isso pode dar :);Positivo
Eu queria ser desocupado que nem esses viado do caralho que ficam enchendo o meu saco no Instagram :);Positivo
Oii :3 Esse é meu primeiro Tweet aqui na minha conta Nova, rs :) Beijus ??;Positivo
eu super gostei desse look bigodinho e vou biscoitar um tiquin sim :) https://t.co/sX5EJ2O87j;Positivo
puta da cara :);Positivo
no meio de dezembro estarei eu chorando aqui no twitter pois vou ter pego dp em c3 :);Positivo
Me espera Que eu sou bom de acompanhar Sou prosa fácil à toa E também sei cozinhar Quando a música fala de paixão com poesia e café, ela não tem como ser ruim :) &lt;3 https://t.co/8B0jWRBM8u https://t.co/8B0jWRBM8u;Positivo
@drhugosantos @FigaroAndre Vcs tem que decidir, confiam ou não nas pesquisas? a ultima deu essa ai, ai vcs tem que decidir se confiam ou não na urna :) https://t.co/HsNlupyadw;Positivo
@muito_cansada Conhece a @querodobra? Dá um bizuuu :);Positivo
@mucamuricoca QUal foi a honra de elas estarem com um cara da sua magnetude ! rs , O que elas acharam de namorar um Youtuber com a sua agenda ? :) Tmj amigo ótima noite @mucamuricoca;Positivo
@al_duartte do meu coração :P;Positivo
@IKSalamander Deixa eu perceber q vc tá parando de me chamar pra ver se eu não te infernizo mais :) ??;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Ter desejos infinitos :) https://t.co/t33JuEi6l2;Positivo
Aí vamo tenta :) tenho 1,75 de altura — mas qual o nexo HAHAHA https://t.co/q1qOllsriG;Positivo
@eduarrdafreitas playlist é boa, poti fala. obrigado por me mostrar o ilha ens lindinha :);Positivo
@implemoz Moro em Azurém fica já dito :);Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — ter minha família pra sempre, encontrar a cura do câncer e ser uma integrante do FBI :) https://t.co/8qYa7AddF7;Positivo
@Rebeca27637323 Na quinta feira :);Positivo
@mrvelxstark Então chupa um labinho :);Positivo
@Jikook94746008 meu tt bugou e eu não tava te seguindo :P Mian haeyo;Positivo
Vou pega essa pedra do sal :);Positivo
Poxa, Chuchu. Quer acabar de vez com a social-democracia :) https://t.co/5bpJfeY01R;Positivo
@xKimJongIn_Kaix nada :-);Positivo
Obrigado @NEToficial por estraga meu dia de hoje e me deixar super estressado pro dia de amanha :) Espero que vcs vao a falencia logo, amem;Positivo
- estiloso e mt gato - 7 - nem t conheço direito mas t acho mt estiloso e parece ser mt gnt boa :)) (@antonioneto_4);Positivo
@dantonico_ Conhece esse texto? https://t.co/6VPtoYOI9c lembrei de vc porque fala de organização de bibliotecas :);Positivo
@linagisa Pas de souci lina :);Positivo
sou um anjo então :) https://t.co/JDZAoAwqzD;Positivo
Estou ansiosa para as aulas começarem. :);Positivo
E a minha cabeça parece que vai explodir logo agora :);Positivo
@mandsspq nunca converseii,nd contra viuuu :);Positivo
queria que alguém fizesse minha unha de graça :);Positivo
É importante sim se sentir confortável dentro da própria pele. Mais do que isso, reafirmar o amor próprior q envolvem vários pontos, entre eles, olhar no espelho e amar o que vê. E não é todo dia q isso acontece, portanto qndo acontece eu registro. :);Positivo
estou com vontade de chorar e com ansiedade :)))) https://t.co/jhPV1NNppq;Positivo
SURUBA SURUBINHA VAMOS TODOS SURUBAR TRÊS ANÃO DOIS TRAVESTI A BUNDA EU VOU DAR :D — VC TÁ CHAPADO DE NOVO NÉ ANDRÉ EU VOU TE BATER https://t.co/ViovmIKp1x;Positivo
Quer saber? Vou dormir e ter os meus wildest dreams :));Positivo
Mercúrio retrógrado, mercúrio normal, não importa: Continuarei solteirona :);Positivo
@joaomilton Vou encarar sim, John. Nossa conversa foi rápida, mas foi civilizada. Obrigada pela dica, vou continuar com calma :);Positivo
@guidacrlh Tao fixe q lhe mandas os parabens p o nmr do meu pai :);Positivo
2 jogos Maxi Lopez 2 cartões amarelos :D;Positivo
@isaagasparini @bia_lmn brigado! :)) ??;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Pedidos infinitos :p https://t.co/kEKv8yluEX;Positivo
@gabr_iel07 de nada :));Positivo
Oi to atoa :) https://t.co/RyFCU6pbrU;Positivo
@knowlestylinson @HugoGloss @Aerosmith Obrigada :);Positivo
uma vez tu era mais legal — nao ta contente não conversa cmg :) https://t.co/gB2OWLpnxx;Positivo
@951013busan gostei de vc :);Positivo
@RaphaelAlves Jogo só acaba quando termina , amigo. :);Positivo
Caso você ainda não tenha ouvido minha música nova, aqui está! Esta é "Lovers", lançada em fevereiro. :) YouTube: https://t.co/vRlXGM6hli Spotify: https://t.co/5pywN7rupf https://t.co/vXe28f12sO;Positivo
parece as minhas notas :) https://t.co/EPdUqVNAfQ;Positivo
O pessoal passou o dia me zoando pq eu tenho 14 anos e sou baixinha. Arrumei um jeito pro meu problema :) https://t.co/rzCq3TheEQ;Positivo
@Luna_Douji Vc me deu dicas e graças a isso estou saindo do bronze :D (sem zoeira);Positivo
@sarmennto gosto dele do jeito que tá. Entretanto dessas duas alternativas a segunda é melhor. p.s.: tu poderia deixar crescer mais :) &lt;3;Positivo
@nbtstyle @CamilaCabelloBR obrigada :);Positivo
@zolfreecs me raconte pas ta vie fdp :);Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — que eu tenha mais desejos e que todos eles se realizem :) https://t.co/t5cGu7wtCk;Positivo
Então 8 a 15 anos de prisão por "pedofilia" Mais 6 a 20 anos por assassinato qualificado, reduzindo 1/4 por provocação, e aumentando 1/3 por vocês serem de menor de idade :) De 16,5 anos aproximandamente de minimo de pena a 35 anos de prisão. Não ligo mesmo para ficar um tempinho;Positivo
Gostei de um vídeo @YouTube https://t.co/iOogfMoz5x dançando você gostaram ? Se sim da like :) ???;Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Pedir mais 3 desejos em cada um dos 3 :) https://t.co/gt129HvBhy;Positivo
Antes perdia o apetite. Agora quando fico ansiosa dá-me é para comer. Great, bora voltar a engordar cma linda :);Positivo
@nebroso @Estadao @Emais_Estadao @GeracaodeValor Essa eu quero ver o que o @GeracaodeValor vai dizer :);Positivo
enquanto tiver aqui vão ter de levar comigo e com a minha opinião e tou me a cagar se a pediram ou não, vou dar à mm :);Positivo
primeiro esse é um desenho junto com a @LoliChanKawaii2 -w- segundo que como eu fiz a minha oc do pastel girl eu conto com o um #aplicativoxdesenho é isto :D https://t.co/8xrjRD9Uh2;Positivo
tua simpatia é uma coisa que eu admiro mt &lt;33 a gente se vê no colégio sempre mas falamos mais aqui pelo tt mesmo e tu é tri querida :);Positivo
Tipo quarta tenho dentista e quinta depilação Escolham o pior ihih :);Positivo
@murilopruner Pode ver a entrevista dela na GloboNews. Está no YouTube. Só não vou pedir foto da urna eletrônica porque é crime :);Positivo
@garileba Depois de morar lá, ganhou um lugar importante no meu coração também! :) Mas se for mesmo pra lá e curtir praia, aproveita pra descer um pouco pro Algarve que dizem que tem umas das praias mais lindas do mundo!;Positivo
mandem p salvar a minha noite :) https://t.co/OIrXsLPZDd;Positivo
@annabmedeiross você eh gata do seu jeito n precisa ser igual a ninguém viu??? tu eh perfeita desse modo :)))) ??????????;Positivo
Agora fiquei sem vida :);Positivo
Estar a ver os VMAS está me a deixar feliz :);Positivo
Os vmas eram ainda melhores se a mtv nao fizesse intervalos a cada 5 minutos :);Positivo
Amanha as 7:30 tenho que estar a pe e tou aqui, porque com calor numa camarata de 15 raparigas nao se respira :);Positivo
@galhapagoz só pra ler e usar pc e devia usar no laboratório tbm mas eu sempre esqueço :);Positivo
Tudo dando errado como sempre :);Positivo
vou voltar a tomar meu remédio :));Positivo
imagina eu a sete palmos da terra :);Positivo
@vratataoficial Legal! Como faço pra participar? Quero desvendar também! :);Positivo
Estou querendo entrar no mundo das Tipografias, alguma música que eu poderia estar testando em uma tipografia? :);Positivo
Tbm adoro, mas geralmente sou eu que tô fazendo confusão :) https://t.co/kOCRqZFpDW;Positivo
A Jéssica fez-me as sobrancelhas :);Positivo
@BezIsabela espero que não seja eu :P;Positivo
@malu_agra Obrigada :) to só o ciúme dessas pessoas falando do filme!;Positivo
pelo menos consegui começar o rascunho da produção de texto :) agr;Positivo
Liguem-me :)));Positivo
@nilmoretto E sobre a Tag Ele/Ela libera no dia q vcs completa os 10 anos de casado. seria legal :D Seria tipo como se a cambada comemora-se com vcs;Positivo
@felipeneto Tú também é. :p;Positivo
Monica: - minha comida é tão ruim assim? Joey: - Mônica, não tô dizendo isso porque sou seu amigo, mas porque é verdade... Sua comida é abismal! :D :D Joey parece eu tentando dar um conselho bom;Positivo
@blacktwicw @sweetjensoo @ReVeLuvie_e @twicejlines usa de qualquer jeito :);Positivo
@reporterjvictor Vou ouvir enquanto jogo um PES :);Positivo
@JrOtoniel A bolha foi rompida, amigo. A vitória vem! :);Positivo
Seja o que você sente!!! E tem mais... Não tenha pressa, apreciem o processo de cada coisa que acontece em sua caminhada! :);Positivo
mais uma conquista pra nos 4 :);Positivo
oops..."O's 1" :);Positivo
porque desde sempre as mulheres no geral recebem ódio em massa gratuito, no mundo da música só eh mais direcionado pq descarado assim vem em forma de “critica” :)))) https://t.co/lrqpZVuC0o;Positivo
@mil_fita_ Eeeeeeeee!!! Parabéns :D;Positivo
@euviniciuss_ aaaaaaa obrigado :))));Positivo
primeiro tweet no pc novo :);Positivo
q lindo &lt;3 fizeram um zine/art com 30 artistas desenhando o kirishima e todo o dinheiro arrecadado vai pra uma instituição que cuida de crianças que sofrem bullying, abuso e violência. pegaram a historia dele e fizeram um projeto pra ajudar crianças :) https://t.co/M2436o8y6E;Positivo
@badaberde Depois que eu migrei (90%) pro Google Docs eu uso o Paperpile e gosto muito! Bem fácil de usar e útil. :);Positivo
Onde fica isso? — é uma ilha na Indonésia :) https://t.co/5erHen3hT0;Positivo
A internet resolve ficar lenta agora quando o VMA vai começar :):):):);Positivo
foi mal trazer essas novidades pra vc MAS branco também rala branco também batalha pelo o que quer não é pq é branco que nasce rico não é pq é branco que tá com a vida ganha esse discursinho medíocre é só uma desculpa pra vc nao se sentir tão mal pro não conseguir oq vc quer :);Positivo
@brnwowzk1 Melhoras brow :);Positivo
MM - és um bebé lindo mesmo , foi pena afastarmos nos mas wtv adoro te :);Positivo
Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Saúde e sucesso no futuro, já chega pq amor eu já tenho :) https://t.co/0eiNTIjyrm;Positivo
é preciso de abrir os olhos pra uma coisa que influencia (mesmo sendo indiretamente) na nossa realidade. não contribua com essa crueldade!! saia da sua zona de conforto :) https://t.co/F4t6q6PQxw;Positivo
necesito morirme :);Positivo
O iPurple Project também trabalha com uma conta no Gmail, o ipurpleproject@gmail.com pra quem não tem twitter ou até se sente mal em mandar DM :) ??;Positivo
@FrasesF109 seguindo de volta ! :);Positivo
@luisagabrielli_ Obrigado por nos seguir, Luisa! Pode dar RT nos nossos tweets p/ ajudar a divulgar o blog? :D ????;Positivo
@FoqsKnows os meus fora da internet sao os da facul tbm.. mas aaaa fico feliz que te respeitam la :);Positivo
Fds os meus lutadores preferidos da atualidade vão lutar hoje pelo titulo :´);Positivo
@verluvskwan obrigada ícone, enquanto eu estiver espirrando recomendo que você se segure num local forte, não queremos que você se machuque :);Positivo
@_SamuelRomero_ Vou lembrar disso, quando quiser carinho vai pedir pro seu mozão. A não ser q tu divida cmg :);Positivo
acabei de denunciar mais 2 :) Anbstony e _lRespecty Amanha estarão banidos :3 hehe;Positivo
Facilidades!!!!!! no, felicidades :) https://t.co/F7rQUrBnx5;Positivo
Meu porteiro plantou esse manacá-da-serra-anão aqui no térreo e, ao ouvir que as flores mudam de cor, eu não tive outra escolha a não ser voltar com a série das plantinhas! A mudança de cor diz que é por conta das abelhas, pra que elas saibam quais são as flores mais jovens :) https://t.co/KNXZsu5KUv;Positivo
